pclass,survived,sex,age,fare,embarked
1,1,female,29,211,S
1,1,male,1,152,S
1,0,female,2,152,S
1,0,male,30,152,S
1,0,female,25,152,S
1,1,male,48,27,S
1,1,female,63,78,S
1,0,male,39,0,S
1,1,female,53,51,S
1,0,male,71,50,C
1,0,male,47,228,C
1,1,female,18,228,C
1,1,female,24,69,C
1,1,female,26,79,S
1,1,male,80,30,S
1,0,male,39,26,S
1,0,male,24,248,C
1,1,female,50,248,C
1,1,female,32,76,C
1,0,male,36,75,C
1,1,male,37,53,S
1,1,female,47,53,S
1,1,male,26,30,C
1,1,female,42,228,C
1,1,female,29,222,S
1,0,male,25,26,C
1,1,male,25,91,C
1,1,female,19,91,C
1,1,female,35,136,S
1,1,male,28,27,S
1,0,male,45,36,S
1,1,male,40,31,C
1,1,female,30,165,S
1,1,female,58,27,S
1,0,male,42,27,S
1,1,female,45,262,C
1,1,female,22,55,S
1,1,male,39,27,S
1,0,male,41,30,S
1,0,male,48,50,C
1,0,male,39,40,C
1,1,female,44,28,C
1,1,female,59,51,S
1,1,female,60,76,C
1,1,female,41,134,C
1,0,male,45,27,S
1,0,male,39,31,S
1,1,male,42,26,S
1,1,female,53,27,C
1,1,male,36,512,C
1,1,female,58,512,C
1,0,male,33,5,S
1,0,male,28,47,S
1,0,male,17,47,S
1,1,male,11,120,S
1,1,female,14,120,S
1,1,male,36,120,S
1,1,female,36,120,S
1,0,male,49,26,S
1,1,female,39,28,C
1,0,male,36,79,S
1,1,female,76,79,S
1,0,male,46,61,S
1,1,female,47,61,S
1,1,male,27,53,S
1,1,female,33,53,S
1,1,female,36,262,C
1,1,female,30,86,S
1,1,male,45,30,C
1,1,female,39,55,S
1,0,male,39,0,S
1,0,male,27,137,C
1,1,female,26,137,C
1,1,female,22,152,S
1,0,male,39,52,S
1,0,male,47,26,S
1,1,female,39,83,C
1,0,male,37,83,C
1,1,female,64,83,C
1,1,female,55,26,S
1,0,male,39,27,S
1,0,male,70,71,S
1,1,female,36,71,S
1,1,female,64,27,S
1,0,male,39,71,C
1,1,female,38,71,C
1,1,male,51,27,S
1,1,male,27,30,S
1,1,female,33,152,S
1,0,male,31,52,S
1,1,female,27,52,S
1,1,male,31,57,S
1,1,female,17,57,S
1,1,male,53,82,S
1,1,male,4,82,S
1,1,female,54,82,S
1,0,male,50,106,C
1,1,female,27,248,C
1,1,female,48,106,C
1,1,female,48,40,C
1,1,male,49,57,C
1,0,male,39,30,C
1,1,female,23,83,C
1,1,female,38,228,C
1,1,female,54,78,C
1,0,female,36,32,C
1,0,male,39,222,S
1,1,female,39,32,S
1,1,female,39,111,C
1,1,male,36,26,S
1,0,male,30,28,C
1,1,female,24,263,S
1,1,female,28,263,S
1,1,female,23,263,S
1,0,male,19,263,S
1,0,male,64,263,S
1,1,female,60,263,S
1,1,female,30,57,C
1,1,male,50,134,S
1,1,male,43,28,C
1,1,female,39,134,S
1,1,female,22,50,C
1,1,male,60,79,C
1,1,female,48,79,C
1,0,male,37,53,S
